player,pos,comb,cov,turn,rush,trk_ga,real_ga,ga60,xga60,toi_min,tier
Jason Dickinson #16,F,0.063,0.045,0.018,0.0,27,57,4.61,2.49,742,T4
Jan Rutta #84,F,0.063,0.021,0.004,0.038,29,49,3.57,2.86,822,T4
Josh Anderson #17,F,0.063,0.043,0.006,0.014,39,62,3.54,2.88,1052,T3
Scott Laughton #24,F,0.064,0.051,0.006,0.007,38,73,3.91,2.21,1122,T2
Jason Zucker #17,F,0.065,0.065,0.0,0.0,33,52,3.43,2.83,910,T4
Nic Dowd #26,F,0.065,0.048,0.017,0.0,30,70,3.78,2.27,1113,T2
Evan Rodrigues #17,F,0.065,0.049,0.016,0.0,32,53,2.3,2.15,1382,T1
Mika Zibanejad #93,F,0.065,0.048,0.017,0.0,44,82,4.71,2.77,1044,T3
Yakov Trenin #13,F,0.066,0.044,0.022,0.0,25,48,3.19,2.34,903,T4
Kiefer Sherwood #44,F,0.067,0.063,0.005,0.0,38,61,3.88,2.42,943,T4
Zachary Aston-Reese #27,F,0.067,0.056,0.012,0.0,37,56,3.57,2.53,941,T4
Drake Batherson #19,F,0.069,0.052,0.017,0.0,33,56,2.79,2.45,1204,T1
Martin Pospisil #76,F,0.069,0.053,0.016,0.0,34,41,2.42,2.55,1015,T3
Nicolas Roy #10,F,0.069,0.061,0.008,0.0,27,56,3.2,2.46,1049,T3
Sebastian Aho #20,F,0.069,0.057,0.012,0.0,44,90,4.21,2.51,1284,T1
Jack McBain #22,F,0.07,0.061,0.009,0.0,30,47,2.98,2.36,948,T4
Tomas Hertl #48,F,0.071,0.056,0.015,0.0,36,57,3.0,2.26,1138,T2
Pavel Dorofeyev #16,F,0.071,0.07,0.001,0.0,38,58,2.82,2.23,1233,T1
Chris Kreider #20,F,0.071,0.061,0.01,0.0,27,49,3.87,2.78,760,T4
Vasily Podkolzin #92,F,0.071,0.066,0.003,0.002,35,52,2.53,2.22,1235,T1
Bo Horvat #14,F,0.071,0.025,0.031,0.016,35,75,3.76,2.65,1197,T1
Connor Bedard #98,F,0.073,0.04,0.024,0.01,58,85,3.8,3.05,1344,T1
Stefan Noesen #11,F,0.073,0.055,0.018,0.0,32,53,3.07,2.43,1037,T3
Casey Cizikas #53,F,0.073,0.05,0.023,0.0,35,54,3.34,2.37,969,T3
Matt Grzelcyk #24,F,0.073,0.033,0.013,0.027,52,67,2.82,2.73,1424,T1
Sean Couturier #14,F,0.073,0.043,0.016,0.015,47,62,3.23,2.42,1153,T2
Nico Hischier #13,F,0.074,0.043,0.031,0.0,27,79,4.12,2.4,1152,T2
Brandon Tanev #73,F,0.074,0.057,0.002,0.015,37,63,3.86,2.5,979,T3
Jordan Kyrou #25,F,0.074,0.054,0.021,0.0,34,50,2.39,2.39,1257,T1
Alexis Lafrenière #13,F,0.075,0.061,0.001,0.013,55,74,3.66,2.83,1214,T1
Phillip Danault #24,F,0.075,0.041,0.029,0.005,30,54,2.71,2.2,1197,T1
William Eklund #72,F,0.075,0.074,0.001,0.0,44,82,4.44,2.63,1107,T2
Cole Caufield #13,F,0.075,0.072,0.0,0.004,39,60,2.96,3.09,1215,T1
Nazem Kadri #91,F,0.076,0.037,0.024,0.015,39,60,2.91,2.62,1239,T1
Alex Pietrangelo #7,F,0.076,0.047,0.009,0.02,48,92,3.7,2.59,1490,T1
Pavel Buchnevich #89,F,0.076,0.072,0.004,0.0,40,71,3.57,2.61,1192,T2
Shane Wright #51,F,0.076,0.066,0.01,0.0,35,48,3.14,2.7,917,T4
Alexander Kerfoot #15,F,0.076,0.055,0.006,0.015,36,65,4.03,2.39,968,T3
Carter Verhaeghe #23,F,0.076,0.069,0.003,0.005,41,78,3.11,2.4,1503,T1
